Date-Time,DOP,Latitude,Longitude,Altitude (ft),Speed (mph),Heading (deg),mod1 Down (Mbs),mod1 Up (Mbs),mod1 Ping (Sec)
2014/10/02 12:41:12,3.58,38.54404,-121.74071,105.315,0.042,0.0,0,0.000,0.000,
2014/10/02 12:41:17,3.57,38.54404,-121.74072,107.612,0.031,0.0,0,0.000,0.000,0.228
2014/10/02 12:41:22,3.57,38.54404,-121.74072,107.940,0.011,0.0,0,0.050,0.083,0.382
2014/10/02 12:41:27,3.57,38.54404,-121.74072,109.908,0.015,0.0,0,2.461,1.208,0.233
2014/10/02 12:41:32,3.57,38.54404,-121.74072,108.924,0.049,0.0,0,3.314,1.250,0.185
2014/10/02 12:41:37,3.57,38.54403,-121.74072,104.659,0.047,0.0,-75,2.717,0.917,0.173
2014/10/02 12:41:42,3.57,38.54402,-121.74072,102.362,0.486,0.0,-75,1.425,1.125,0.201
2014/10/02 12:41:47,3.56,38.54400,-121.74073,100.722,0.059,0.0,-75,1.264,2.792,0.528
2014/10/02 12:41:52,3.56,38.54400,-121.74073,100.394,0.083,0.0,-75,1.200,2.833,0.310
2014/10/02 12:41:57,3.56,38.54399,-121.74072,99.738,0.041,0.0,-75,1.697,2.667,0.241
2014/10/02 12:42:02,3.56,38.54398,-121.74072,97.113,0.015,0.0,-75,1.464,3.083,0.421
2014/10/02 12:42:07,3.56,38.54402,-121.74072,110.236,1.164,0.0,-77,2.578,2.833,0.225
2014/10/02 12:42:12,3.55,38.54404,-121.74073,105.315,1.302,0.0,-77,3.681,1.292,0.161
2014/10/02 12:42:17,3.55,38.54406,-121.74075,99.081,1.078,0.0,-77,3.636,0.000,0.145
2014/10/02 12:42:22,3.55,38.54408,-121.74075,99.081,2.130,0.0,-77,3.278,0.625,0.237
2014/10/02 12:42:27,3.55,38.54410,-121.74058,89.567,9.242,0.0,-77,1.969,0.625,0.170
2014/10/02 12:42:32,3.55,38.54409,-121.74042,70.210,3.476,0.0,-77,1.375,2.500,0.210
2014/10/02 12:42:37,3.54,38.54411,-121.74036,81.693,0.085,0.0,-69,2.955,3.583,0.205
