Date-Time,DOP,Latitude,Longitude,Altitude (ft),Speed (mph),Heading (deg),mod1 Down (Mbs),mod1 Up (Mbs),mod1 Ping (Sec)
2014/10/20 15:10:12,0.0,0.00000,0.00000,0.000,0.000,0.0,0,0.000,0.000,
2014/10/20 15:10:17,0.0,0.00000,0.00000,0.000,0.000,0.0,0,0.000,0.000,0.216
2014/10/20 15:10:22,0.0,0.00000,0.00000,0.000,0.000,0.0,0,0.006,0.167,0.173
2014/10/20 15:10:27,0.0,0.00000,0.00000,0.000,0.000,0.0,0,1.134,4.333,0.861
2014/10/20 15:10:32,0.0,0.00000,0.00000,0.000,0.000,0.0,0,0.463,2.625,0.909
2014/10/20 15:10:37,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,2.042,0.505
2014/10/20 15:10:42,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,1.206,2.958,0.613
2014/10/20 15:10:47,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.874,3.417,1.633
2014/10/20 15:10:52,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,1.054,0.000,0.265
2014/10/20 15:10:57,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,1.267,4.125,0.289
2014/10/20 15:11:02,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,1.413,4.125,0.216
2014/10/20 15:11:07,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,1.137,2.583,0.266
2014/10/20 15:11:12,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,1.319,4.083,0.409
2014/10/20 15:11:17,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,1.565,4.625,0.548
2014/10/20 15:11:22,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,1.285,4.625,0.478
2014/10/20 15:11:27,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,1.373,0.000,0.198
2014/10/20 15:11:33,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,0.000,0.000,0.969
2014/10/20 15:11:38,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.441
2014/10/20 15:11:43,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.685
2014/10/20 15:11:48,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.434
2014/10/20 15:11:53,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.411
2014/10/20 15:11:58,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.410
2014/10/20 15:12:03,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.494
2014/10/20 15:12:08,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.425
2014/10/20 15:12:13,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,0.000,0.000,0.409
2014/10/20 15:12:18,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,0.000,0.000,0.408
2014/10/20 15:12:23,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,0.000,0.000,0.408
2014/10/20 15:12:28,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,0.000,0.000,0.430
2014/10/20 15:12:33,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,0.000,0.000,0.409
2014/10/20 15:12:38,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,0.000,0.000,0.429
2014/10/20 15:12:43,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,0.000,0.000,0.628
2014/10/20 15:12:48,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,0.000,0.000,0.410
2014/10/20 15:12:53,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,0.000,0.000,0.420
2014/10/20 15:12:58,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,0.000,0.000,0.430
2014/10/20 15:13:03,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,0.000,0.000,0.421
2014/10/20 15:13:08,0.0,0.00000,0.00000,0.000,0.000,0.0,-75,0.000,0.000,0.441
2014/10/20 15:13:13,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.716
2014/10/20 15:13:18,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.436
2014/10/20 15:13:23,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.430
2014/10/20 15:13:28,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.510
2014/10/20 15:13:33,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.417
2014/10/20 15:13:38,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.162
2014/10/20 15:13:43,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.185
2014/10/20 15:13:48,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,0.841
2014/10/20 15:13:53,0.0,0.00000,0.00000,0.000,0.000,0.0,-73,0.000,0.000,1.956
